代码,买入日,首板日,pre1%,pre2%,pre3%,pre3_exbase%,pd1%,pd2%,pd3%,p3阴阳,p3max%,p3min%
000002.SZSE,2024-09-30,2024-09-26,2.67,5.48,6.1,5.17,0.58,2.74,2.67,阳阳阳,2.74,0.58
000002.SZSE,2024-10-08,2024-09-26,2.67,5.48,6.1,5.17,0.58,2.74,2.67,阳阳阳,2.74,0.58
000006.SZSE,2024-10-22,2024-10-18,-4.01,-1.71,4.94,7.55,6.76,2.4,-4.01,阳阳阴,6.76,-4.01
000006.SZSE,2025-10-14,2025-10-10,5.44,16.04,14.09,10.88,-1.68,10.05,5.44,阴阳阳,10.05,-1.68
000008.SZSE,2024-03-12,2024-03-07,0.0,-0.93,-1.39,-0.93,-0.46,-0.93,0.0,阴阴阳,0.0,-0.93
000008.SZSE,2026-04-01,2026-03-30,1.12,-1.46,0.75,3.89,2.24,-2.55,1.12,阳阴阳,2.24,-2.55
000011.SZSE,2026-07-27,2026-07-23,0.59,0.0,3.02,1.65,3.02,-0.59,0.59,阳阴阳,3.02,-0.59
000017.SZSE,2026-08-25,2026-08-20,-2.65,-2.49,-2.17,0.67,0.33,0.17,-2.65,阳阳阴,0.33,-2.65
000020.SZSE,2023-07-10,2023-07-06,-5.31,4.18,3.28,14.52,-0.86,10.03,-5.31,阴阳阴,10.03,-5.31
000020.SZSE,2024-01-17,2024-01-15,0.0,1.79,-0.24,1.22,-2.0,1.79,0.0,阴阳阳,1.79,-2.0
000020.SZSE,2024-01-26,2024-01-24,2.49,12.75,4.61,-8.12,-7.22,10.01,2.49,阴阳阳,10.01,-7.22
000020.SZSE,2025-06-19,2025-06-17,1.21,-0.71,-1.57,-2.52,-0.86,-1.9,1.21,阴阴阳,1.21,-1.9
000025.SZSE,2024-10-29,2024-10-25,-1.74,-0.79,-0.91,4.98,-0.12,0.97,-1.74,阴阳阴,0.97,-1.74
000025.SZSE,2025-04-18,2025-04-16,-1.61,-1.0,1.34,6.03,2.36,0.62,-1.61,阳阳阴,2.36,-1.61
000026.SZSE,2025-07-01,2025-06-26,3.04,3.21,5.6,0.61,2.31,0.17,3.04,阳阳阳,3.04,0.17
000029.SZSE,2024-09-30,2024-09-26,0.93,5.79,8.17,9.35,2.25,4.81,0.93,阳阳阳,4.81,0.93
000032.SZSE,2024-10-08,2024-09-27,4.0,4.45,6.55,2.23,2.01,0.44,4.0,阳阳阳,4.0,0.44
000032.SZSE,2026-06-15,2026-06-11,0.64,3.58,-1.64,-5.01,-5.03,2.91,0.64,阴阳阳,2.91,-5.03
000032.SZSE,2026-06-16,2026-06-11,0.64,3.58,-1.64,-5.01,-5.03,2.91,0.64,阴阳阳,2.91,-5.03
000037.SZSE,2023-06-27,2023-06-21,-2.36,-3.01,-7.26,-0.22,-4.38,-0.67,-2.36,阴阴阴,-0.67,-4.38
000037.SZSE,2023-06-28,2023-06-21,-2.36,-3.01,-7.26,-0.22,-4.38,-0.67,-2.36,阴阴阴,-0.67,-4.38
000037.SZSE,2024-01-31,2024-01-29,-6.05,-2.21,0.65,7.6,2.92,4.1,-6.05,阳阳阴,4.1,-6.05
000042.SZSE,2024-03-13,2024-03-11,0.49,0.25,0.99,-1.94,0.74,-0.25,0.49,阳阴阳,0.74,-0.25
000045.SZSE,2024-10-29,2024-10-25,2.01,0.0,1.58,1.73,1.58,-1.98,2.01,阳阴阳,2.01,-1.98
000045.SZSE,2024-10-30,2024-10-25,2.01,0.0,1.58,1.73,1.58,-1.98,2.01,阳阴阳,2.01,-1.98
000048.SZSE,2026-06-11,2026-06-09,4.54,1.17,2.43,1.0,1.25,-3.23,4.54,阳阴阳,4.54,-3.23
000058.SZSE,2024-10-29,2024-10-25,1.51,1.23,3.36,3.86,2.1,-0.27,1.51,阳阴阳,2.1,-0.27
000058.SZSE,2024-10-30,2024-10-25,1.51,1.23,3.36,3.86,2.1,-0.27,1.51,阳阴阳,2.1,-0.27
000061.SZSE,2025-08-29,2025-08-27,1.61,1.75,1.61,0.0,-0.15,0.15,1.61,阴阳阳,1.61,-0.15
000062.SZSE,2024-08-20,2024-08-15,1.28,1.87,0.58,0.0,-1.27,0.58,1.28,阴阳阳,1.28,-1.27
000062.SZSE,2024-09-03,2024-08-30,3.81,14.17,25.6,33.12,10.02,9.98,3.81,阳阳阳,10.02,3.81
000062.SZSE,2024-09-04,2024-08-30,3.81,14.17,25.6,33.12,10.02,9.98,3.81,阳阳阳,10.02,3.81
000066.SZSE,2024-10-31,2024-10-29,4.74,5.58,2.76,7.96,-2.67,0.8,4.74,阴阳阳,4.74,-2.67
000066.SZSE,2024-11-01,2024-10-29,4.74,5.58,2.76,7.96,-2.67,0.8,4.74,阴阳阳,4.74,-2.67
000066.SZSE,2024-11-08,2024-11-06,6.06,-3.78,5.86,9.77,10.02,-9.28,6.06,阳阴阳,10.02,-9.28
000066.SZSE,2026-05-07,2026-04-30,1.07,7.45,9.54,10.13,1.95,6.32,1.07,阳阳阳,6.32,1.07
000068.SZSE,2024-01-26,2024-01-24,0.98,-9.01,0.0,9.04,9.9,-9.89,0.98,阳阴阳,9.9,-9.89
000068.SZSE,2024-01-29,2024-01-24,0.98,-9.01,0.0,9.04,9.9,-9.89,0.98,阳阴阳,9.9,-9.89
000069.SZSE,2024-10-08,2024-09-26,4.78,8.42,8.42,5.03,0.0,3.47,4.78,阳阳阳,4.78,0.0
000070.SZSE,2024-01-24,2024-01-22,0.28,0.42,-1.23,-3.1,-1.65,0.14,0.28,阴阳阳,0.28,-1.65
000070.SZSE,2025-11-25,2025-11-21,3.26,0.32,-1.76,-2.54,-2.07,-2.85,3.26,阴阴阳,3.26,-2.85
000070.SZSE,2025-11-26,2025-11-21,3.26,0.32,-1.76,-2.54,-2.07,-2.85,3.26,阴阴阳,3.26,-2.85
000070.SZSE,2026-02-12,2026-02-10,2.45,3.46,8.36,16.35,4.73,0.99,2.45,阳阳阳,4.73,0.99
000099.SZSE,2024-04-01,2024-03-27,-1.17,-5.75,-11.54,-10.69,-6.14,-4.63,-1.17,阴阴阴,-1.17,-6.14
000099.SZSE,2024-04-19,2024-04-17,0.84,10.94,7.94,4.01,-2.71,10.01,0.84,阴阳阳,10.01,-2.71
000099.SZSE,2024-07-31,2024-07-29,1.43,2.34,1.78,-2.78,-0.55,0.89,1.43,阴阳阳,1.43,-0.55
000100.SZSE,2024-11-01,2024-10-30,-1.35,-2.01,3.06,1.83,5.18,-0.67,-1.35,阳阴阴,5.18,-1.35
000151.SZSE,2024-01-29,2024-01-24,0.84,-5.77,-6.77,-8.95,-1.06,-6.55,0.84,阴阴阳,0.84,-6.55
000158.SZSE,2024-10-10,2024-09-30,-2.91,-0.75,9.2,4.4,10.02,2.24,-2.91,阳阳阴,10.02,-2.91
000402.SZSE,2026-05-06,2026-04-29,-0.76,-1.13,-2.24,-4.0,-1.12,-0.38,-0.76,阴阴阴,-0.38,-1.12
000409.SZSE,2023-12-13,2023-12-11,1.49,2.25,2.89,-1.22,0.63,0.75,1.49,阳阳阳,1.49,0.63
000409.SZSE,2023-12-14,2023-12-11,1.49,2.25,2.89,-1.22,0.63,0.75,1.49,阳阳阳,1.49,0.63
000409.SZSE,2025-03-05,2025-03-03,-6.08,-4.61,-4.42,1.37,0.2,1.57,-6.08,阳阳阴,1.57,-6.08
000417.SZSE,2026-05-20,2026-05-18,-4.16,-0.97,0.0,5.97,0.98,3.32,-4.16,阳阳阴,3.32,-4.16
000417.SZSE,2026-05-21,2026-05-18,-4.16,-0.97,0.0,5.97,0.98,3.32,-4.16,阳阳阴,3.32,-4.16
000420.SZSE,2025-05-16,2025-05-14,-2.1,1.36,0.27,2.42,-1.08,3.53,-2.1,阴阳阴,3.53,-2.1
000421.SZSE,2023-12-12,2023-12-08,-4.17,-1.71,-1.2,4.9,0.52,2.56,-4.17,阳阳阴,2.56,-4.17
000421.SZSE,2023-12-13,2023-12-08,-4.17,-1.71,-1.2,4.9,0.52,2.56,-4.17,阳阳阴,2.56,-4.17
000421.SZSE,2024-07-18,2024-07-16,-4.67,-1.67,1.08,8.59,2.8,3.14,-4.67,阳阳阴,3.14,-4.67
000421.SZSE,2024-07-31,2024-07-29,-2.19,3.36,-6.99,-0.98,-10.02,5.67,-2.19,阴阳阴,5.67,-10.02
000421.SZSE,2025-01-15,2024-12-26,-6.36,-9.24,-6.21,0.64,3.34,-3.08,-6.36,阳阴阴,3.34,-6.36
000428.SZSE,2026-07-29,2026-07-27,-1.94,0.66,0.33,0.32,-0.33,2.65,-1.94,阴阳阴,2.65,-1.94
000428.SZSE,2026-07-30,2026-07-27,-1.94,0.66,0.33,0.32,-0.33,2.65,-1.94,阴阳阴,2.65,-1.94
000503.SZSE,2024-10-09,2024-09-30,6.93,8.85,11.13,6.15,2.09,1.79,6.93,阳阳阳,6.93,1.79
000504.SZSE,2024-05-10,2024-05-08,1.65,1.65,11.85,13.85,10.04,0.0,1.65,阳阳阳,10.04,0.0
000505.SZSE,2026-08-19,2026-08-17,-0.71,-2.09,-1.92,-3.25,0.17,-1.4,-0.71,阳阴阴,0.17,-1.4
000506.SZSE,2024-04-08,2024-04-02,0.49,0.73,3.24,5.37,2.49,0.24,0.49,阳阳阳,2.49,0.24
000506.SZSE,2026-01-21,2026-01-19,-1.89,1.4,2.11,6.78,0.7,3.35,-1.89,阳阳阴,3.35,-1.89
000506.SZSE,2026-01-28,2026-01-26,-0.1,0.78,10.87,22.1,10.02,0.88,-0.1,阳阳阴,10.02,-0.1
000506.SZSE,2026-01-29,2026-01-26,-0.1,0.78,10.87,22.1,10.02,0.88,-0.1,阳阳阴,10.02,-0.1
000509.SZSE,2024-08-13,2024-08-08,-0.41,1.68,-0.41,-0.41,-2.06,2.1,-0.41,阴阳阴,2.1,-2.06
000509.SZSE,2025-10-23,2025-10-21,2.61,0.32,-1.26,-3.16,-1.57,-2.24,2.61,阴阴阳,2.61,-2.24
000509.SZSE,2026-05-27,2026-05-25,3.16,2.35,-1.01,-3.55,-3.28,-0.78,3.16,阴阴阳,3.16,-3.28
000509.SZSE,2026-05-28,2026-05-25,3.16,2.35,-1.01,-3.55,-3.28,-0.78,3.16,阴阴阳,3.16,-3.28
000510.SZSE,2025-04-15,2025-04-11,6.98,7.28,3.51,-12.9,-3.51,0.28,6.98,阴阳阳,6.98,-3.51
000510.SZSE,2025-04-16,2025-04-11,6.98,7.28,3.51,-12.9,-3.51,0.28,6.98,阴阳阳,6.98,-3.51
000510.SZSE,2025-11-27,2025-11-25,0.31,-9.76,-7.8,-10.67,2.17,-10.04,0.31,阳阴阳,2.17,-10.04
000510.SZSE,2026-05-26,2026-05-22,1.34,-1.09,-1.74,-4.49,-0.65,-2.4,1.34,阴阴阳,1.34,-2.4
000510.SZSE,2026-06-15,2026-06-11,-4.7,-4.59,-13.46,-12.64,-9.3,0.12,-4.7,阴阳阴,0.12,-9.3
000514.SZSE,2024-05-23,2024-05-21,-5.75,2.17,7.41,16.96,5.13,8.4,-5.75,阳阳阴,8.4,-5.75
000514.SZSE,2025-07-09,2025-07-07,0.65,1.74,3.54,2.65,1.77,1.09,0.65,阳阳阳,1.77,0.65
000514.SZSE,2025-07-10,2025-07-07,0.65,1.74,3.54,2.65,1.77,1.09,0.65,阳阳阳,1.77,0.65
000518.SZSE,2026-05-22,2026-05-20,-4.02,0.65,0.98,5.56,0.33,4.87,-4.02,阳阳阴,4.87,-4.02
000518.SZSE,2026-05-25,2026-05-20,-4.02,0.65,0.98,5.56,0.33,4.87,-4.02,阳阳阴,4.87,-4.02
000520.SZSE,2024-10-30,2024-10-25,0.51,4.19,14.7,22.6,10.09,3.66,0.51,阳阳阳,10.09,0.51
000520.SZSE,2025-05-15,2025-05-13,2.66,2.43,3.81,0.89,1.35,-0.22,2.66,阳阴阳,2.66,-0.22
000526.SZSE,2023-05-30,2023-05-26,1.58,0.04,1.41,-1.68,1.37,-1.52,1.58,阳阴阳,1.58,-1.52
000530.SZSE,2024-11-08,2024-11-06,0.64,3.04,3.04,3.28,0.0,2.39,0.64,阳阳阳,2.39,0.0
000530.SZSE,2025-12-03,2025-12-01,0.65,0.82,-0.32,-1.13,-1.13,0.16,0.65,阴阳阳,0.65,-1.13
000532.SZSE,2025-02-06,2025-01-27,5.81,6.24,4.48,-2.56,-1.65,0.4,5.81,阴阳阳,5.81,-1.65
000533.SZSE,2025-01-09,2025-01-07,-7.77,1.5,11.72,33.21,10.07,10.04,-7.77,阳阳阴,10.07,-7.77
000533.SZSE,2025-11-07,2025-11-05,0.42,4.64,4.79,0.7,0.15,4.2,0.42,阳阳阳,4.2,0.15
000533.SZSE,2026-02-04,2026-02-02,-2.78,-5.52,-8.01,-9.83,-2.63,-2.82,-2.78,阴阴阴,-2.63,-2.82
000533.SZSE,2026-03-09,2026-03-04,-1.84,-4.28,-5.41,-1.64,-1.18,-2.48,-1.84,阴阴阴,-1.18,-2.48
000533.SZSE,2026-07-27,2026-07-23,-0.75,0.77,-1.0,-3.75,-1.76,1.53,-0.75,阴阳阴,1.53,-1.76
000533.SZSE,2026-07-28,2026-07-23,-0.75,0.77,-1.0,-3.75,-1.76,1.53,-0.75,阴阳阴,1.53,-1.76
000536.SZSE,2023-09-06,2023-09-04,-4.81,4.76,7.03,14.29,2.16,10.05,-4.81,阳阳阴,10.05,-4.81
000536.SZSE,2023-09-07,2023-09-04,-4.81,4.76,7.03,14.29,2.16,10.05,-4.81,阳阳阴,10.05,-4.81
000536.SZSE,2023-09-14,2023-09-12,-8.78,0.34,10.23,32.92,9.85,10.0,-8.78,阳阳阴,10.0,-8.78
000536.SZSE,2023-09-28,2023-09-26,-0.55,-3.49,-0.83,-3.22,2.76,-2.96,-0.55,阳阴阴,2.76,-2.96
000536.SZSE,2023-10-09,2023-09-26,-0.55,-3.49,-0.83,-3.22,2.76,-2.96,-0.55,阳阴阴,2.76,-2.96
000536.SZSE,2024-10-09,2024-09-30,3.07,5.96,6.34,5.4,0.35,2.81,3.07,阳阳阳,3.07,0.35
000536.SZSE,2024-10-29,2024-10-25,-2.82,-7.53,-6.27,-0.56,1.36,-4.84,-2.82,阳阴阴,1.36,-4.84
000537.SZSE,2026-03-12,2026-03-10,1.18,3.52,4.33,3.8,0.78,2.31,1.18,阳阳阳,2.31,0.78
000537.SZSE,2026-03-13,2026-03-10,1.18,3.52,4.33,3.8,0.78,2.31,1.18,阳阳阳,2.31,0.78
000539.SZSE,2026-05-29,2026-05-27,-1.33,2.14,3.57,4.81,1.4,3.52,-1.33,阳阳阴,3.52,-1.33
000539.SZSE,2026-06-01,2026-05-27,-1.33,2.14,3.57,4.81,1.4,3.52,-1.33,阳阳阴,3.52,-1.33
000546.SZSE,2025-11-19,2025-11-17,-2.89,4.39,2.33,6.72,-1.97,7.5,-2.89,阴阳阴,7.5,-2.89
000546.SZSE,2025-11-20,2025-11-17,-2.89,4.39,2.33,6.72,-1.97,7.5,-2.89,阴阳阴,7.5,-2.89
000547.SZSE,2025-11-18,2025-11-14,0.83,0.94,0.23,-2.19,-0.7,0.12,0.83,阴阳阳,0.83,-0.7
000547.SZSE,2025-11-19,2025-11-14,0.83,0.94,0.23,-2.19,-0.7,0.12,0.83,阴阳阳,0.83,-0.7
000547.SZSE,2025-12-02,2025-11-28,-3.23,-12.91,-9.97,2.34,3.37,-10.0,-3.23,阳阴阴,3.37,-10.0
000548.SZSE,2024-11-26,2024-11-22,1.15,2.52,3.94,2.55,1.38,1.36,1.15,阳阳阳,1.38,1.15
000550.SZSE,2023-07-19,2023-07-17,-0.42,-2.66,-2.12,1.13,0.55,-2.25,-0.42,阳阴阴,0.55,-2.25
000551.SZSE,2024-10-09,2024-09-30,3.26,5.56,7.11,6.74,1.47,2.22,3.26,阳阳阳,3.26,1.47
000551.SZSE,2025-12-25,2025-12-22,1.15,1.97,0.35,-3.01,-1.59,0.81,1.15,阴阳阳,1.15,-1.59
000553.SZSE,2024-10-25,2024-10-23,8.3,19.05,20.0,7.99,0.8,9.92,8.3,阳阳阳,9.92,0.8
000554.SZSE,2026-03-04,2026-03-02,2.99,1.47,2.75,9.71,1.26,-1.47,2.99,阳阴阳,2.99,-1.47
000555.SZSE,2025-10-31,2025-10-29,0.13,2.63,6.74,17.3,4.0,2.5,0.13,阳阳阳,4.0,0.13
000557.SZSE,2024-11-11,2024-11-07,1.57,5.94,6.38,2.62,0.41,4.3,1.57,阳阳阳,4.3,0.41
000559.SZSE,2025-05-12,2025-05-08,3.26,7.23,9.42,8.0,2.04,3.85,3.26,阳阳阳,3.85,2.04
000559.SZSE,2025-09-17,2025-09-15,-1.26,-0.38,-1.75,-0.13,-1.38,0.89,-1.26,阴阳阴,0.89,-1.38
000559.SZSE,2025-09-18,2025-09-15,-1.26,-0.38,-1.75,-0.13,-1.38,0.89,-1.26,阴阳阴,0.89,-1.38
000560.SZSE,2024-04-30,2024-04-26,0.0,-1.26,-2.48,-4.27,-1.24,-1.26,0.0,阴阴阳,0.0,-1.26
000560.SZSE,2024-05-21,2024-05-16,7.59,11.06,9.55,12.0,-1.36,3.23,7.59,阴阳阳,7.59,-1.36
000560.SZSE,2024-09-30,2024-09-26,-1.75,1.81,-0.35,4.38,-2.13,3.62,-1.75,阴阳阴,3.62,-2.13
000560.SZSE,2024-10-08,2024-09-26,-1.75,1.81,-0.35,4.38,-2.13,3.62,-1.75,阴阳阴,3.62,-2.13
000560.SZSE,2026-09-01,2026-08-28,0.0,0.42,10.6,7.62,10.14,0.42,0.0,阳阳阳,10.14,0.0
000561.SZSE,2024-10-29,2024-10-25,-0.37,1.52,-0.5,3.86,-1.98,1.89,-0.37,阴阳阴,1.89,-1.98
000561.SZSE,2025-08-14,2025-08-12,-0.48,-0.48,-1.53,0.1,-1.05,0.0,-0.48,阴阳阴,0.0,-1.05
000564.SZSE,2024-11-07,2024-11-05,-2.0,0.51,0.51,2.56,0.0,2.56,-2.0,阳阳阴,2.56,-2.0
000564.SZSE,2024-12-02,2024-11-28,3.0,-0.36,-7.09,-10.7,-6.76,-3.26,3.0,阴阴阳,3.0,-6.76
000565.SZSE,2025-04-30,2025-04-25,0.39,0.0,0.78,0.79,0.78,-0.39,0.39,阳阴阳,0.78,-0.39
000565.SZSE,2025-05-16,2025-05-14,5.72,13.23,20.21,8.97,6.16,7.1,5.72,阳阳阳,7.1,5.72
000566.SZSE,2024-09-11,2024-09-06,2.34,2.0,2.34,-1.97,0.33,-0.33,2.34,阳阴阳,2.34,-0.33
000566.SZSE,2024-11-07,2024-11-05,2.11,-8.14,-0.61,-4.43,8.2,-10.04,2.11,阳阴阳,8.2,-10.04
000566.SZSE,2024-11-08,2024-11-05,2.11,-8.14,-0.61,-4.43,8.2,-10.04,2.11,阳阴阳,8.2,-10.04
000566.SZSE,2025-06-04,2025-05-30,5.7,0.54,2.96,-10.24,2.41,-4.88,5.7,阳阴阳,5.7,-4.88
000566.SZSE,2025-11-18,2025-11-14,0.33,-0.65,-3.15,-0.97,-2.52,-0.97,0.33,阴阴阳,0.33,-2.52
000566.SZSE,2025-12-23,2025-12-19,-2.23,-7.45,-11.44,-11.68,-4.31,-5.34,-2.23,阴阴阴,-2.23,-5.34
000566.SZSE,2026-07-01,2026-06-29,-10.02,-8.02,1.23,23.72,10.05,2.23,-10.02,阳阳阴,10.05,-10.02
000566.SZSE,2026-07-02,2026-06-29,-10.02,-8.02,1.23,23.72,10.05,2.23,-10.02,阳阳阴,10.05,-10.02
000567.SZSE,2024-09-26,2024-09-24,-1.73,-4.01,-2.57,1.76,1.5,-2.32,-1.73,阳阴阴,1.5,-2.32
000568.SZSE,2024-09-30,2024-09-26,1.67,9.89,10.95,8.99,0.97,8.08,1.67,阳阳阳,8.08,0.97
000568.SZSE,2024-10-08,2024-09-26,1.67,9.89,10.95,8.99,0.97,8.08,1.67,阳阳阳,8.08,0.97
000571.SZSE,2024-03-18,2024-03-14,-0.85,0.43,3.1,2.62,2.65,1.29,-0.85,阳阳阴,2.65,-0.85
000571.SZSE,2024-03-19,2024-03-14,-0.85,0.43,3.1,2.62,2.65,1.29,-0.85,阳阳阴,2.65,-0.85
000572.SZSE,2023-07-31,2023-07-27,-2.96,1.43,-0.7,-0.23,-2.1,4.52,-2.96,阴阳阴,4.52,-2.96
000572.SZSE,2023-08-01,2023-07-27,-2.96,1.43,-0.7,-0.23,-2.1,4.52,-2.96,阴阳阴,4.52,-2.96
000572.SZSE,2023-11-14,2023-11-10,-1.98,0.0,0.9,4.6,0.9,2.02,-1.98,阳阳阴,2.02,-1.98
000572.SZSE,2024-10-31,2024-10-29,3.37,8.13,10.83,11.24,2.5,4.61,3.37,阳阳阳,4.61,2.5
000572.SZSE,2025-11-04,2025-10-31,-1.8,0.33,4.9,7.76,4.55,2.17,-1.8,阳阳阴,4.55,-1.8
000572.SZSE,2025-11-05,2025-10-31,-1.8,0.33,4.9,7.76,4.55,2.17,-1.8,阳阳阴,4.55,-1.8
000573.SZSE,2024-11-25,2024-11-21,4.64,5.4,5.02,-2.78,-0.36,0.72,4.64,阴阳阳,4.64,-0.36
000573.SZSE,2025-01-07,2025-01-03,4.35,6.48,5.76,4.18,-0.68,2.05,4.35,阴阳阳,4.35,-0.68
000573.SZSE,2025-01-08,2025-01-03,4.35,6.48,5.76,4.18,-0.68,2.05,4.35,阴阳阳,4.35,-0.68
000573.SZSE,2025-02-26,2025-02-24,-1.94,-2.42,-0.25,-0.72,2.22,-0.48,-1.94,阳阴阴,2.22,-1.94
000586.SZSE,2024-02-29,2024-02-27,-4.32,0.23,10.2,20.57,9.95,4.75,-4.32,阳阳阴,9.95,-4.32
000592.SZSE,2024-10-31,2024-10-29,6.06,11.11,12.3,4.21,1.07,4.76,6.06,阳阳阳,6.06,1.07
000592.SZSE,2025-11-04,2025-10-31,6.62,17.3,29.06,33.04,10.02,10.02,6.62,阳阳阳,10.02,6.62
000592.SZSE,2025-11-05,2025-10-31,6.62,17.3,29.06,33.04,10.02,10.02,6.62,阳阳阳,10.02,6.62
000593.SZSE,2025-10-30,2025-10-24,3.39,4.21,10.46,9.74,6.0,0.79,3.39,阳阳阳,6.0,0.79
000593.SZSE,2026-01-14,2026-01-12,8.01,14.84,16.16,10.39,1.15,6.32,8.01,阳阳阳,8.01,1.15
000593.SZSE,2026-08-05,2026-07-31,-7.74,-10.43,-10.94,-5.28,-0.58,-2.91,-7.74,阴阴阴,-0.58,-7.74
000595.SZSE,2024-01-04,2023-12-29,3.29,2.17,-2.69,-6.37,-4.75,-1.08,3.29,阴阴阳,3.29,-4.75
000595.SZSE,2024-07-30,2024-07-26,-2.83,1.18,2.39,5.06,1.19,4.13,-2.83,阳阳阴,4.13,-2.83
000595.SZSE,2024-09-24,2024-09-20,1.28,11.47,13.29,16.38,1.64,10.06,1.28,阳阳阳,10.06,1.28
000595.SZSE,2024-09-25,2024-09-20,1.28,11.47,13.29,16.38,1.64,10.06,1.28,阳阳阳,10.06,1.28
000595.SZSE,2024-10-15,2024-10-11,0.24,1.92,2.91,9.7,0.97,1.68,0.24,阳阳阳,1.68,0.24
000595.SZSE,2025-03-21,2025-03-19,-2.08,-2.23,-2.08,4.16,0.16,-0.16,-2.08,阳阴阴,0.16,-2.08
000595.SZSE,2026-07-24,2026-07-22,-2.98,-3.59,-6.56,-4.86,-3.07,-0.63,-2.98,阴阴阴,-0.63,-3.07
000595.SZSE,2026-08-04,2026-07-31,-8.02,-8.87,-16.16,-11.7,-7.99,-0.92,-8.02,阴阴阴,-0.92,-8.02
000595.SZSE,2026-08-05,2026-07-31,-8.02,-8.87,-16.16,-11.7,-7.99,-0.92,-8.02,阴阴阴,-0.92,-8.02
000596.SZSE,2024-09-30,2024-09-26,0.22,4.74,5.55,4.68,0.78,4.51,0.22,阳阳阳,4.51,0.22
000596.SZSE,2024-10-08,2024-09-26,0.22,4.74,5.55,4.68,0.78,4.51,0.22,阳阳阳,4.51,0.22
000597.SZSE,2024-08-09,2024-08-06,-1.71,0.0,0.5,5.41,0.5,1.74,-1.71,阳阳阴,1.74,-1.71
000599.SZSE,2025-10-28,2025-10-24,-1.03,2.68,5.5,7.0,2.75,3.75,-1.03,阳阳阴,3.75,-1.03
000599.SZSE,2025-10-29,2025-10-24,-1.03,2.68,5.5,7.0,2.75,3.75,-1.03,阳阳阴,3.75,-1.03
000601.SZSE,2025-03-21,2025-03-19,2.11,3.81,3.56,-2.73,-0.24,1.67,2.11,阴阳阳,2.11,-0.24
000601.SZSE,2025-07-08,2025-07-04,1.41,-1.37,3.91,2.68,5.35,-2.73,1.41,阳阴阳,5.35,-2.73
000601.SZSE,2026-03-20,2026-03-18,-2.86,-5.26,-12.7,-9.87,-7.85,-2.48,-2.86,阴阴阴,-2.48,-7.85
000601.SZSE,2026-05-14,2026-05-12,1.24,2.23,5.6,10.5,3.3,0.97,1.24,阳阳阳,3.3,0.97
000603.SZSE,2026-01-27,2026-01-23,1.78,11.53,16.15,13.75,4.14,9.58,1.78,阳阳阳,9.58,1.78
000603.SZSE,2026-07-23,2026-07-21,-1.58,-8.8,-10.47,-12.79,-1.82,-7.33,-1.58,阴阴阴,-1.58,-7.33
000605.SZSE,2024-11-07,2024-11-05,1.1,-1.08,-0.9,-2.15,0.18,-2.15,1.1,阳阴阳,1.1,-2.15
000605.SZSE,2024-11-08,2024-11-05,1.1,-1.08,-0.9,-2.15,0.18,-2.15,1.1,阳阴阳,1.1,-2.15
000605.SZSE,2024-11-20,2024-11-18,-0.36,9.66,-1.06,4.59,-9.78,10.05,-0.36,阴阳阴,10.05,-9.78
000605.SZSE,2024-11-21,2024-11-18,-0.36,9.66,-1.06,4.59,-9.78,10.05,-0.36,阴阳阴,10.05,-9.78
000607.SZSE,2025-07-10,2025-07-08,0.22,2.74,3.69,0.22,0.92,2.51,0.22,阳阳阳,2.51,0.22
000607.SZSE,2025-07-11,2025-07-08,0.22,2.74,3.69,0.22,0.92,2.51,0.22,阳阳阳,2.51,0.22
000608.SZSE,2024-09-26,2024-09-24,-0.64,-0.64,2.65,4.0,3.31,0.0,-0.64,阳阳阴,3.31,-0.64
000608.SZSE,2024-11-11,2024-11-07,2.88,8.7,7.3,0.83,-1.29,5.65,2.88,阴阳阳,5.65,-1.29
000619.SZSE,2024-12-03,2024-11-29,2.94,1.81,-0.18,2.83,-1.96,-1.09,2.94,阴阴阳,2.94,-1.96
000619.SZSE,2024-12-11,2024-12-09,3.79,-2.08,-11.91,-6.63,-10.04,-5.65,3.79,阴阴阳,3.79,-10.04
000620.SZSE,2024-05-24,2024-05-21,2.79,4.55,8.24,4.68,3.53,1.7,2.79,阳阳阳,3.53,1.7
000620.SZSE,2024-11-07,2024-11-05,-1.62,-3.7,0.55,8.82,4.42,-2.12,-1.62,阳阴阴,4.42,-2.12
000620.SZSE,2025-11-05,2025-11-03,-10.14,-18.42,-22.26,-4.83,-4.7,-9.21,-10.14,阴阴阴,-4.7,-10.14
000620.SZSE,2025-11-06,2025-11-03,-10.14,-18.42,-22.26,-4.83,-4.7,-9.21,-10.14,阴阴阴,-4.7,-10.14
000626.SZSE,2024-10-24,2024-10-22,0.59,2.0,1.19,1.0,-0.8,1.4,0.59,阴阳阳,1.4,-0.8
000626.SZSE,2025-04-14,2025-04-10,4.86,1.64,-8.49,-11.59,-9.96,-3.07,4.86,阴阴阳,4.86,-9.96
000626.SZSE,2025-10-16,2025-10-14,-1.04,0.91,1.52,2.12,0.61,1.97,-1.04,阳阳阴,1.97,-1.04
000626.SZSE,2025-10-17,2025-10-14,-1.04,0.91,1.52,2.12,0.61,1.97,-1.04,阳阳阴,1.97,-1.04
000628.SZSE,2024-02-21,2024-02-08,-2.2,5.46,-2.36,-5.58,-7.42,7.83,-2.2,阴阳阴,7.83,-7.42
